Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
3540.0,265,265,0,0,0,0,0,0,0,14795220.840041019,46386053.382014506,1103259.9909865973,6090.589984361594,18642.211194919677,917.9884953512302,182256.0,1311311.3886692661
3600.0,269,269,0,0,0,0,0,0,0,15108788.755617168,47369153.35541604,1129453.1565127184,6233.263353476374,19045.214444830563,939.5592535101179,185333.0,1334306.515915798
3660.0,266,265,0,0,0,0,0,1,0,15375865.248715311,48206762.44775627,1148056.2970586934,6336.6534740162815,19509.976863171803,958.2380598698637,188621.0,1359583.1178345804
3720.0,261,260,0,0,0,0,0,1,0,15663128.16257637,49107393.64053407,1168561.4976686516,6450.86615570136,19872.664971570975,976.562740136048,192050.0,1385438.6021002918
3780.0,234,232,0,0,0,0,0,2,0,15905803.89120686,49868498.16429598,1186274.6689449514,6548.490976728404,20364.024620967393,995.2781931207592,195122.0,1410168.7941327386
3840.0,233,231,0,0,0,0,0,2,0,16138792.46803433,50599752.17113101,1204224.9900932622,6645.356345852032,21113.411689511788,1017.7874228057074,197894.0,1434817.3223591195
3900.0,224,222,0,0,0,0,0,2,0,16343495.136993244,51241908.806871615,1219135.5706761978,6727.063614502576,21606.853987310074,1034.4776688778409,200856.0,1459054.678655091
3960.0,219,217,0,0,0,0,0,2,0,16567077.231118625,51943555.98685679,1234388.3178722905,6811.351840039073,22268.771747330928,1054.8732231822642,203752.0,1482668.8209863354
4020.0,219,217,0,0,0,0,0,2,0,16780081.25602115,52611601.182395294,1247935.8235472322,6887.549513417753,22693.399392005103,1070.517199174392,206461.0,1505955.2160735996
4080.0,223,221,0,0,0,0,0,2,0,17007889.36367254,53326615.77624416,1262705.9777989453,6969.231914438465,23433.70323422366,1091.4991168209972,209120.0,1529036.240798171
4140.0,218,216,0,0,0,0,0,2,0,17226576.40153754,54012444.271469705,1279163.871483338,7059.440871785159,23825.495536605216,1107.7071873615955,211593.0,1551087.8262165303
4200.0,212,210,0,0,0,0,0,2,0,17421866.329395544,54624718.551064834,1293151.5514329681,7136.891772233357,24071.08928121661,1119.4026381053134,213800.0,1572374.2523876685
4260.0,205,203,1,0,0,0,0,1,0,17626782.920299046,55267757.490019225,1307788.5907294862,7217.021760881209,24683.950617989285,1138.3061766086953,216100.0,1592645.4631249725
4320.0,200,198,1,0,0,0,0,1,0,17832362.546995383,55912850.81186588,1323412.4773954402,7302.083776851062,25272.710868567767,1157.8203124761342,218467.0,1611140.5979237652
4380.0,210,207,1,0,0,0,0,2,0,18085380.231730245,56706716.63831505,1340328.4583265795,7396.396226851088,25937.125931210452,1180.1132081086264,220487.0,1627890.0904383557
4440.0,213,211,1,0,0,0,0,1,0,18275619.629450597,57303455.89497453,1353067.991731585,7467.0593112751485,26356.22054530108,1194.2176186354623,222547.0,1644912.75466795
4500.0,226,224,1,0,0,0,0,1,0,18502504.12672109,58015147.22368109,1369801.8282503854,7558.713126131149,26872.03500567318,1213.3240115424726,225281.0,1663734.5246241551
4560.0,226,223,1,0,0,0,0,2,0,18746232.144336756,58779976.68868471,1385894.5879670705,7648.218548384851,27603.214512310566,1237.047278187855,227935.0,1682772.1164800213
4620.0,217,214,1,0,0,0,0,2,0,19007303.10423634,59599308.55471973,1402854.8913460742,7742.875956025145,28430.48681363426,1262.8406467357865,230230.0,1701695.40728381
4680.0,219,215,2,0,0,0,0,2,0,19237714.96096894,60322317.20372186,1418253.2037658652,7828.008511175096,29095.52736525034,1283.6268561958082,232531.0,1720064.5190609146
4740.0,212,208,2,0,0,0,0,2,0,19474052.00604213,61064662.89476215,1434621.3230005354,7916.7789851610605,30184.010727093177,1312.5113990685948,234887.0,1738264.6506514905
4800.0,207,203,2,0,0,0,0,2,0,19687358.324681778,61734136.09461817,1450036.4591204221,8000.878750057133,30873.92324921135,1334.0294146991275,237179.0,1755166.8481652788
4860.0,217,212,2,0,0,0,0,3,0,19915038.9307792,62449067.821962394,1464694.775455239,8081.73531721909,31791.748144758254,1358.9813889244692,239511.0,1773136.940713129
4920.0,218,214,1,0,0,0,0,3,0,20162218.57796891,63224940.209376924,1478077.6693750909,8158.344099906721,32633.352238288688,1383.1037203829512,241961.0,1792253.12520164
4980.0,219,214,1,0,0,0,0,4,0,20360491.075626686,63847769.39338967,1491074.9316224915,8229.04575966149,33554.16116128623,1407.9183838346923,244154.0,1811656.759046472
