Loading configuration ... done.
***Starting server on port 49395 ***
Loading net-file from '/usr/app/simulation/Ingolstadt_SUMO_365/ingolstadt_net.net.xml' ... done (3998ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_tlLogics_24h.tll.xml' ... done (70ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_WAUT.xml' ... done (5ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/pt_stops.add.xml' ... done (20ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/2023-06-20_gtfs_trips.rou.xml' ... 
done (574ms).
Loading done.
Simulation version 1.18.0 started with time: 0.00.
Step #9300.00 (9ms ~= 111.11*RT, ~16444.44UPS, TraCI: 49ms, vehicles TOT 3601 ACT 148 BUF 
Step #9400.00 (11ms ~= 90.91*RT, ~13454.55UPS, TraCI: 0ms, vehicles TOT 3634 ACT 148 BUF 0
Step #9500.00 (9ms ~= 111.11*RT, ~17000.00UPS, TraCI: 0ms, vehicles TOT 3668 ACT 153 BUF 0
Step #9600.00 (9ms ~= 111.11*RT, ~15222.22UPS, TraCI: 50ms, vehicles TOT 3693 ACT 137 BUF 
Step #9700.00 (8ms ~= 125.00*RT, ~18000.00UPS, TraCI: 0ms, vehicles TOT 3726 ACT 144 BUF 0
Step #9800.00 (8ms ~= 125.00*RT, ~17125.00UPS, TraCI: 0ms, vehicles TOT 3751 ACT 137 BUF 0
Step #9900.00 (18ms ~= 55.56*RT, ~7388.89UPS, TraCI: 45ms, vehicles TOT 3784 ACT 133 BUF 0
Step #10000.00 (10ms ~= 100.00*RT, ~14400.00UPS, TraCI: 0ms, vehicles TOT 3814 ACT 144 BUF
Step #10100.00 (11ms ~= 90.91*RT, ~14090.91UPS, TraCI: 0ms, vehicles TOT 3854 ACT 155 BUF 
Step #10200.00 (11ms ~= 90.91*RT, ~14545.45UPS, TraCI: 57ms, vehicles TOT 3888 ACT 160 BUF
Step #10300.00 (11ms ~= 90.91*RT, ~14818.18UPS, TraCI: 1ms, vehicles TOT 3917 ACT 163 BUF 
Step #10400.00 (11ms ~= 90.91*RT, ~14454.55UPS, TraCI: 0ms, vehicles TOT 3949 ACT 159 BUF 
Step #10500.00 (13ms ~= 76.92*RT, ~12230.77UPS, TraCI: 53ms, vehicles TOT 3982 ACT 159 BUF
Step #10600.00 (8ms ~= 125.00*RT, ~21125.00UPS, TraCI: 0ms, vehicles TOT 4022 ACT 169 BUF 
Step #10700.00 (16ms ~= 62.50*RT, ~11687.50UPS, TraCI: 0ms, vehicles TOT 4058 ACT 187 BUF 
Step #10800.00 (34ms ~= 29.41*RT, ~5382.35UPS, TraCI: 60ms, vehicles TOT 4096 ACT 183 BUF 
Step #10900.00 (7ms ~= 142.86*RT, ~23571.43UPS, TraCI: 1ms, vehicles TOT 4123 ACT 165 BUF 
Step #11000.00 (5ms ~= 200.00*RT, ~30400.00UPS, TraCI: 1ms, vehicles TOT 4151 ACT 152 BUF 
Step #11100.00 (15ms ~= 66.67*RT, ~10000.00UPS, TraCI: 52ms, vehicles TOT 4174 ACT 150 BUF
Step #11200.00 (11ms ~= 90.91*RT, ~12272.73UPS, TraCI: 1ms, vehicles TOT 4197 ACT 135 BUF 
Step #11300.00 (7ms ~= 142.86*RT, ~18714.29UPS, TraCI: 0ms, vehicles TOT 4219 ACT 131 BUF 
Step #11400.00 (10ms ~= 100.00*RT, ~12500.00UPS, TraCI: 43ms, vehicles TOT 4236 ACT 125 BU
Step #11500.00 (5ms ~= 200.00*RT, ~24800.00UPS, TraCI: 0ms, vehicles TOT 4265 ACT 124 BUF 
Step #11600.00 (5ms ~= 200.00*RT, ~25000.00UPS, TraCI: 1ms, vehicles TOT 4290 ACT 125 BUF 
Step #11700.00 (8ms ~= 125.00*RT, ~16125.00UPS, TraCI: 44ms, vehicles TOT 4320 ACT 129 BUF
Step #11800.00 (8ms ~= 125.00*RT, ~14750.00UPS, TraCI: 1ms, vehicles TOT 4338 ACT 118 BUF 
Step #11900.00 (11ms ~= 90.91*RT, ~11272.73UPS, TraCI: 0ms, vehicles TOT 4362 ACT 124 BUF 
Step #12000.00 (11ms ~= 90.91*RT, ~11272.73UPS, TraCI: 46ms, vehicles TOT 4382 ACT 124 BUF
Step #12100.00 (9ms ~= 111.11*RT, ~13444.44UPS, TraCI: 0ms, vehicles TOT 4406 ACT 121 BUF 
Step #12200.00 (6ms ~= 166.67*RT, ~21833.33UPS, TraCI: 0ms, vehicles TOT 4437 ACT 131 BUF 
Step #12300.00 (22ms ~= 45.45*RT, ~5227.27UPS, TraCI: 39ms, vehicles TOT 4454 ACT 115 BUF 
Step #12400.00 (5ms ~= 200.00*RT, ~24800.00UPS, TraCI: 0ms, vehicles TOT 4485 ACT 124 BUF 
Step #12500.00 (11ms ~= 90.91*RT, ~10727.27UPS, TraCI: 0ms, vehicles TOT 4509 ACT 118 BUF 
Step #12600.00 (11ms ~= 90.91*RT, ~11727.27UPS, TraCI: 49ms, vehicles TOT 4543 ACT 129 BUF
Step #12700.00 (9ms ~= 111.11*RT, ~15111.11UPS, TraCI: 0ms, vehicles TOT 4570 ACT 136 BUF 
Step #12800.00 (20ms ~= 50.00*RT, ~7400.00UPS, TraCI: 0ms, vehicles TOT 4607 ACT 148 BUF 0
Step #12900.00 (7ms ~= 142.86*RT, ~22000.00UPS, TraCI: 53ms, vehicles TOT 4637 ACT 154 BUF
Step #13000.00 (9ms ~= 111.11*RT, ~16666.67UPS, TraCI: 0ms, vehicles TOT 4657 ACT 150 BUF 
Step #13100.00 (7ms ~= 142.86*RT, ~21571.43UPS, TraCI: 0ms, vehicles TOT 4679 ACT 151 BUF 
Step #13200.00 (10ms ~= 100.00*RT, ~14100.00UPS, TraCI: 53ms, vehicles TOT 4705 ACT 141 BU
Step #13300.00 (10ms ~= 100.00*RT, ~13800.00UPS, TraCI: 0ms, vehicles TOT 4725 ACT 138 BUF
Step #13400.00 (10ms ~= 100.00*RT, ~13700.00UPS, TraCI: 0ms, vehicles TOT 4753 ACT 137 BUF
Step #13500.00 (8ms ~= 125.00*RT, ~17875.00UPS, TraCI: 49ms, vehicles TOT 4786 ACT 143 BUF
Step #13600.00 (6ms ~= 166.67*RT, ~22666.67UPS, TraCI: 0ms, vehicles TOT 4810 ACT 136 BUF 
Step #13700.00 (11ms ~= 90.91*RT, ~13181.82UPS, TraCI: 0ms, vehicles TOT 4836 ACT 145 BUF 
Step #13800.00 (11ms ~= 90.91*RT, ~12000.00UPS, TraCI: 48ms, vehicles TOT 4856 ACT 132 BUF
Step #13900.00 (9ms ~= 111.11*RT, ~15888.89UPS, TraCI: 0ms, vehicles TOT 4888 ACT 143 BUF 
Step #14000.00 (12ms ~= 83.33*RT, ~12000.00UPS, TraCI: 0ms, vehicles TOT 4914 ACT 144 BUF 
